YEARMODA,MAX,MIN,TEMP1,TEMP2
20240601,26,18,24,23
20240602,24,17,21,24
20240603,26,15,22,23
20240604,25,16,19,25
20240605,23,13,20,23
20240606,19,14,19,15
20240607,18,9,17,18
20240608,18,9,14,17
20240609,16,11,13,15
20240610,18,8,14,18
20240611,18,10,15,18
20240612,18,11,15,18
20240613,18,12,15,18
20240614,,12,16,18
20240615,19,9,16,19
20240616,22,14,18,20
20240617,23,15,20,21
20240618,22,15,19,21
20240619,18,13,16,17
20240620,21,13,16,20
20240621,22,12,19,22
20240622,21,11,19,21
20240623,23,12,20,22
20240624,,17,19,21
20240625,26,12,21,25
20240626,26,16,22,26
20240627,,15,23,27
20240628,27,17,25,27
20240629,24,17,20,22
20240630,23,14,20,21
20240701,21,17,20,20
20240702,23,14,20,23
20240703,17,13,14,17
20240704,21,14,18,20
20240705,20,14,18,19
20240706,19,11,11,19
20240707,20,15,17,18
20240708,21,14,19,21
20240709,,13,19,22
20240710,,12,20,22
20240711,,17,20,21
20240712,23,17,19,22
20240713,25,16,23,24
20240714,21,17,19,20
20240715,22,15,20,22
20240716,24,15,21,24
20240717,24,18,22,24
20240718,22,17,19,22
20240719,21,16,18,20
20240720,23,16,19,20
20240721,,17,19,21
20240722,25,17,22,25
20240723,,20,22,25
20240724,,20,22,24
20240725,26,18,22,26
20240726,27,18,24,26
20240727,25,,23,25
20240728,24,,21,24
20240729,25,,20,25
20240730,24,18,19,23
20240731,23,15,19,21
20240801,22,14,17,21
20240802,22,15,17,22
20240803,22,15,18,18
20240804,22,15,18,20
20240805,21,15,19,20
20240806,22,17,19,22
20240807,22,13,19,21
20240808,24,14,21,24
20240809,24,17,22,24
20240810,21,16,17,21
20240811,21,14,18,15
20240812,17,13,15,16
20240813,24,12,19,23
20240814,24,14,20,24
20240815,24,14,21,24
20240816,21,18,20,21
20240817,23,17,20,21
20240818,21,12,18,21
20240819,22,15,19,22
20240820,21,10,17,21
20240821,22,16,21,21
20240822,22,,20,21
20240823,20,13,19,18
20240824,19,15,18,19
20240825,26,14,19,26
20240826,20,14,17,20
20240827,20,15,18,20
20240828,22,14,19,21
20240829,22,,17,22
20240830,25,16,21,24
20240831,,14,14,19
